AstronautId,MajorId
1,1
2,2
3,3
4,4
5,5
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,9
14,7
15,12
16,13
17,5
18,14
19,5
20,1
21,15
22,16
23,14
24,9
25,14
26,12
27,17
28,18
29,19
30,15
31,20
32,12
33,21
34,20
35,14
36,15
37,20
38,22
39,6
40,23
41,18
42,14
43,24
44,7
45,12
46,14
47,5
48,14
49,9
50,23
51,25
52,5
53,26
54,15
55,11
56,27
57,12
58,5
59,26
60,18
61,23
62,15
63,14
64,12
65,14
66,5
67,28
68,12
69,29
70,18
71,16
72,30
73,20
74,20
75,5
76,26
77,31
78,20
79,12
80,12
81,18
82,26
83,20
84,15
85,9
86,15
87,9
88,15
89,30
90,32
91,33
92,34
93,23
94,35
95,36
96,9
97,37
98,15
99,38
100,1
101,12
102,9
103,14
104,5
105,5
106,39
107,40
108,41
109,37
110,26
111,20
112,9
113,15
114,15
115,42
116,5
117,20
118,15
119,5
120,43
121,44
122,2
123,45
124,46
125,14
126,3
127,9
128,3
129,12
130,35
131,3
132,6
133,15
134,26
135,47
136,18
137,20
138,20
139,18
140,20
141,5
142,9
143,12
144,12
145,3
146,15
147,18
148,7
149,24
150,5
151,9
152,9
153,10
154,12
155,23
156,20
157,48
158,14
159,4
160,6
161,14
162,23
163,49
164,15
165,50
166,14
167,15
168,3
169,51
170,48
171,5
172,35
173,15
174,14
175,29
176,9
177,15
178,15
179,12
180,20
181,26
182,37
183,52
184,14
185,53
186,37
187,15
188,54
189,37
190,47
191,48
192,12
193,14
194,18
195,15
196,9
197,24
198,18
199,55
200,56
201,29
202,26
203,23
204,57
205,3
206,6
207,12
208,9
209,20
210,58
211,14
212,26
213,9
214,9
215,59
216,60
217,12
218,15
219,42
220,61
221,12
222,20
223,35
224,62
225,37
226,37
227,9
228,63
229,3
230,10
231,26
232,1
233,9
234,64
235,65
236,66
237,67
238,68
239,15
240,20
241,9
242,9
243,54
244,15
245,5
246,3
247,9
248,9
249,14
250,5
251,15
252,15
253,9
254,54
255,24
256,9
257,10
258,3
259,69
260,37
261,20
262,29
263,70
264,61
265,15
266,7
267,12
268,15
269,15
270,71
271,72
272,14
273,5
274,29
275,73
276,24
277,74
278,48
279,12
280,5
281,75
282,76
283,29
284,29
285,35
286,1
287,11
288,15
289,20
290,77
291,4
292,12
293,78
294,20
295,28
296,79
297,19
298,35
299,15
300,12
301,12
302,35
303,14
304,3
305,35
306,20
307,5
308,23
309,12
310,5
311,80
312,2
313,5
314,5
315,5
316,18
317,5
318,9
319,3
320,9
321,9
322,9
323,5
324,12
325,29
326,48
327,9
328,49
329,23
330,15
331,18
332,5
333,7
334,35
335,81
336,9
337,9
338,29
339,12
340,15
341,42
342,20
343,51
344,23
345,5
346,5
347,42
348,82
349,14
350,18
351,83
352,9
353,14
354,9
355,84
356,12
357,23
