Id,Name,Birth Date,City,State,Group,Gender,Status,Year,Death Mission,Death Date,Space Flight (hr),Space Flights,Space Walks (hr),Space Walks,Military Rank,Military Branch
1,Joseph M. Acaba,5/17/1967,Inglewood, CA,19,Male,Active,2004,,,3307,2,13,2,,
2,Loren W. Acton,3/7/1936,Lewiston, MT,,Male,Retired,,,,190,1,0,0,,
3,James C. Adamson,3/3/1946,Warsaw, NY,10,Male,Retired,1984,,,334,2,0,0,Colonel,US Army (Retired)
4,Thomas D. Akers,5/20/1951,St. Louis, MO,12,Male,Retired,1987,,,814,4,29,4,Colonel,US Air Force (Retired)
5,Buzz Aldrin,1/20/1930,Montclair, NJ,3,Male,Retired,1963,,,289,2,8,2,Colonel,US Air Force (Retired)
6,Andrew M. Allen,8/4/1955,Philadelphia, PA,12,Male,Retired,1987,,,906,3,0,0,Lieutenant Colonel,US Marine Corps (Retired)
7,Joseph P. Allen,6/27/1937,Crawsfordsville, IN,6,Male,Retired,1967,,,313,2,12,2,,
8,Scott D. Altman,8/15/1959,Lincoln, IL,15,Male,Retired,1995,,,1236,4,0,0,Captain,US Navy (Retired)
9,William A. Anders,10/17/1933,Hong Kong,NA,3,Male,Retired,1963,,,147,1,0,0,Major General,US Air Force Reserves (Retired)
10,Clayton C. Anderson,2/23/1959,Omaha, NE,17,Male,Retired,1998,,,4005,2,38,6,,
11,Michael P. Anderson,12/25/1959,Plattsburgh, NY,15,Male,Deceased,1995,STS-107 (Columbia),2/1/2003,594,2,0,0,Lieutenant Colonel,US Air Force
12,Dominic A. Antonelli,8/23/1967,Detroit, MI,18,Male,Active,2000,,,579,2,0,0,Commander,US Navy
13,Jerome Apt III ,4/18/1949,Springfield, MA,11,Male,Retired,1985,,,847,4,11,2,,
14,Lee J. Archambault,8/25/1960,Oak Park, IL,17,Male,Retired,1998,,,639,2,0,0,Colonel,US Air Force
15,Neil A. Armstrong,8/5/1930,Wapakoneta, OH,2,Male,Deceased,1962,,8/25/2012,205,2,2,1,,
16,Richard R. Arnold II ,11/26/1963,Cheverly, MD,19,Male,Active,2004,,,307,1,12,2,,
17,Jeffrey S. Ashby,6/1/1954,Dallas, TX,15,Male,Retired,1995,,,655,3,0,0,Captain,US Navy (Retired)
18,Serena M. Aunon,4/9/1976,Indianapolis, IN,20,Female,Active,2009,,,0,0,0,0,,
19,James P. Bagian,2/22/1952,Philadelphia, PA,9,Male,Retired,1980,,,337,2,0,0,,
20,Ellen S. Baker,4/27/1953,Fayettesville, NC,10,Female,Retired,1984,,,686,3,0,0,,
21,Michael A. Baker,10/27/1953,Memphis, TN,11,Male,Management,1985,,,965,4,0,0,Captain,US Navy (Retired)
22,Michael R. Barratt,4/16/1959,Vancouver, WA,18,Male,Active,2000,,,5075,2,5,1,,
23,Daniel T. Barry,12/30/1953,Norwalk, CT,14,Male,Retired,1992,,,733,3,26,4,,
24,John-David F. Bartoe,11/17/1944,Abington, PA,,Male,Retired,,,,190,1,0,0,,
25,Charles A. Bassett II ,12/30/1931,Dayton, OH,3,Male,Deceased,1963,,2/28/1966,0,0,0,0,Captain,US Air Force
26,Alan L. Bean,3/15/1932,Wheeler, TX,3,Male,Retired,1963,,,1671,2,10,3,Captain,US Navy (Retired)
27,Robert L. Behnken,7/28/1970,Creve Couer, MO,18,Male,Active,2000,,,708,2,37,6,Colonel,US Air Force
28,John E. Blaha,8/26/1942,San Antonio, TX,9,Male,Retired,1980,,,3861,5,0,0,Colonel,US Air Force (Retired)
29,Michael J. Bloomfield,3/16/1959,Flint, MI,15,Male,Retired,1995,,,779,3,0,0,Colonel,US Air Force (Retired)
30,Guion S. Bluford Jr. ,11/22/1942,Philadelphia, PA,8,Male,Retired,1978,,,689,4,0,0,Colonel,US Air Force (Retired)
31,Karol J. Bobko,12/23/1937,New York, NY,7,Male,Retired,1969,,,386,3,0,0,Colonel,US Air Force (Retired)
32,Eric A. Boe,10/1/1964,Miami, FL,18,Male,Active,2000,,,687,2,0,0,Colonel,US Air Force
33,Charles F. Bolden Jr. ,8/19/1946,Columbia, SC,9,Male,Management,1980,,,680,4,0,0,Major General,US Marine Corps (Retired)
34,Frank Borman,3/14/1928,Gary, IN,2,Male,Retired,1962,,,477,2,0,0,Colonel,US Air Force (Retired)
35,Stephen G. Bowen,2/13/1964,Cohasset, MA,18,Male,Active,2000,,,970,3,47,7,Captain,US Navy
36,Kenneth D. Bowersox,11/14/1956,Portsmouth, VA,12,Male,Retired,1987,,,5078,5,13,2,Captain,US Navy (Retired)
37,Charles E. Brady Jr. ,8/12/1951,Pinehurst, NC,14,Male,Deceased,1992,,7/23/2006,405,1,0,0,Captain,US Navy
38,Vance D. Brand,5/9/1931,Longmont, CA,5,Male,Retired,1966,,,752,4,0,0,,US Marine Corps Reserves
39,Daniel C. Brandenstein,1/17/1943,Watertown, WI,8,Male,Retired,1978,,,789,4,0,0,Captain,US Navy (Retired)
40,Randolph J. Bresnik,9/11/1967,Fort Knox, KY,19,Male,Active,2004,,,259,1,12,2,Colonel,US Marine Corps
41,Roy D. Bridges Jr. ,7/19/1943,Atlanta, GA,9,Male,Retired,1980,,,190,1,0,0,Major General,US Air Force (Retired)
42,Curtis L. Brown Jr. ,3/11/1956,Elizabethtown, NC,12,Male,Retired,1987,,,1383,6,0,0,Colonel,US Air Force (Retired)
43,David M. Brown,4/16/1956,Arlington, VA,16,Male,Deceased,1996,STS-107 (Columbia),2/1/2003,382,1,0,0,Captain,US Navy
44,Mark N. Brown,11/18/1951,Valparaiso, IN,10,Male,Retired,1984,,,249,2,0,0,Colonel,US Air Force (Retired)
45,James F. Buchli,6/20/1945,New Rockford, ND,8,Male,Retired,1978,,,490,4,0,0,Colonel,US Marine Corps (Retired)
46,Jay Clark Buckey,6/6/1956,New York, NY,,Male,Retired,,,,381,1,0,0,,
47,John S. Bull,9/25/1934,Memphis, TN,5,Male,Deceased,1966,,8/11/2008,0,0,0,0,,
